"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","22,015.1","21,746.6","22,059.9","20,896.5","11.31M","2.29%"
"10/28/2022","21,522.9","21,746.6","22,283.6","21,478.2","8.53M","0.42%"
"10/27/2022","21,433.4","20,359.5","21,433.4","20,135.8","8.95M","6.92%"
"10/26/2022","20,046.3","20,091.0","20,762.2","20,001.5","3.85M","-0.22%"
"10/25/2022","20,091.0","18,972.4","20,091.0","18,748.6","9.66M","6.90%"
"10/24/2022","18,793.4","19,419.8","19,688.3","18,614.4","5.53M","-3.00%"
"10/21/2022","19,375.1","20,807.0","20,807.0","19,375.1","7.44M","-6.88%"
"10/20/2022","20,807.0","20,762.2","21,209.7","20,270.0","4.33M","0.22%"
"10/19/2022","20,762.2","20,583.2","20,896.5","20,180.5","4.60M","0.87%"
"10/18/2022","20,583.2","20,493.7","20,941.2","20,449.0","4.35M","2.00%"
"10/17/2022","20,180.5","20,225.3","20,359.5","19,598.8","5.27M","-0.66%"
"10/14/2022","20,314.8","20,449.0","20,538.5","20,091.0","6.33M","1.34%"
"10/13/2022","20,046.3","19,061.9","20,046.3","18,927.6","6.98M","5.91%"
"10/12/2022","18,927.6","17,898.5","18,927.6","17,809.0","5.27M","6.82%"
"10/11/2022","17,719.5","18,524.9","18,569.7","17,451.0","6.14M","-4.35%"
"10/10/2022","18,524.9","17,630.0","18,748.6","17,451.0","5.50M","3.76%"
"10/07/2022","17,853.7","19,061.9","19,061.9","17,853.7","9.37M","-6.78%"
"10/06/2022","19,151.4","19,688.3","19,912.0","19,017.1","4.76M","-2.73%"
"10/05/2022","19,688.3","19,061.9","19,867.3","19,061.9","4.78M","6.02%"
"10/04/2022","18,569.7","19,688.3","20,314.8","18,345.9","6.30M","-3.93%"
"10/03/2022","19,330.3","20,314.8","20,583.2","19,330.3","6.36M","-6.90%"
"09/30/2022","20,762.2","20,270.0","20,807.0","20,091.0","6.01M","2.65%"
"09/29/2022","20,225.3","21,075.4","21,388.7","20,225.3","3.82M","-3.00%"
"09/28/2022","20,851.7","20,941.2","21,254.4","20,851.7","3.03M","-0.64%"
"09/27/2022","20,985.9","21,030.7","21,388.7","20,851.7","2.73M","-0.21%"
"09/26/2022","21,030.7","22,104.6","22,104.6","20,807.0","7.20M","-6.00%"
