"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2023","38,956.0","39,045.0","39,045.0","38,735.0","696.31K","-0.23%"
"05/31/2023","39,045.0","38,868.0","39,045.0","38,646.0","868.62K","0.46%"
"05/30/2023","38,868.0","39,045.0","39,045.0","38,690.0","902.42K","-0.23%"
"05/29/2023","38,956.0","39,001.0","39,001.0","38,513.0","752.88K","1.15%"
"05/26/2023","38,513.0","39,134.0","39,134.0","38,513.0","613.94K","-0.80%"
"05/25/2023","38,823.0","38,601.0","39,045.0","38,557.0","738.57K","0.58%"
"05/24/2023","38,601.0","39,045.0","39,045.0","38,601.0","864.45K","-0.80%"
"05/23/2023","38,912.0","39,844.0","39,844.0","38,912.0","849.12K","-1.24%"
"05/22/2023","39,400.0","39,400.0","39,888.0","39,400.0","684.93K","0.00%"
"05/19/2023","39,400.0","39,578.0","39,888.0","39,311.0","679.75K","-0.56%"
"05/18/2023","39,622.0","39,844.0","39,888.0","39,489.0","580.02K","-0.33%"
"05/17/2023","39,755.0","39,933.0","40,021.0","39,755.0","975.78K","-0.45%"
"05/16/2023","39,933.0","40,021.0","40,021.0","39,711.0","483.67K","0.22%"
"05/15/2023","39,844.0","40,820.0","40,820.0","39,844.0","490.77K","-0.22%"
"05/12/2023","39,933.0","39,933.0","40,021.0","39,533.0","482.65K","0.00%"
"05/11/2023","39,933.0","39,933.0","40,154.0","39,755.0","575.28K","0.00%"
"05/10/2023","39,933.0","40,199.0","40,199.0","39,489.0","670.51K","-0.22%"
"05/09/2023","40,021.0","39,666.0","40,243.0","39,666.0","733.50K","0.89%"
"05/08/2023","39,666.0","38,646.0","40,376.0","38,646.0","1.27M","2.88%"
"05/05/2023","38,557.0","38,868.0","38,912.0","38,557.0","334.13K","-0.69%"
"05/04/2023","38,823.0","38,601.0","39,223.0","38,424.0","424.28K","0.58%"
"04/28/2023","38,601.0","39,001.0","39,134.0","38,601.0","467.21K","-0.91%"
"04/27/2023","38,956.0","39,134.0","39,134.0","38,601.0","183.80K","-0.45%"
"04/26/2023","39,134.0","38,601.0","39,311.0","38,335.0","456.51K","1.26%"
"04/25/2023","38,646.0","38,690.0","38,956.0","38,291.0","607.63K","-0.34%"
"04/24/2023","38,779.0","39,223.0","39,223.0","38,779.0","521.64K","-1.13%"
"04/21/2023","39,223.0","39,578.0","39,578.0","39,223.0","399.49K","-0.90%"
"04/20/2023","39,578.0","39,356.0","39,578.0","39,178.0","289.50K","0.45%"
"04/19/2023","39,400.0","39,711.0","39,711.0","39,223.0","509.47K","-0.45%"
"04/18/2023","39,578.0","39,755.0","39,933.0","39,311.0","720.88K","-0.89%"
"04/17/2023","39,933.0","39,444.0","40,021.0","39,400.0","807.54K","1.24%"
"04/14/2023","39,444.0","39,933.0","39,933.0","39,444.0","697.21K","-1.11%"
"04/13/2023","39,888.0","39,400.0","39,933.0","39,400.0","877.86K","1.24%"
"04/12/2023","39,400.0","39,489.0","39,755.0","39,223.0","873.91K","0.00%"
"04/11/2023","39,400.0","39,444.0","39,622.0","39,178.0","1.39M","-0.67%"
"04/10/2023","39,666.0","40,642.0","40,642.0","39,666.0","2.04M","-2.08%"
"04/07/2023","40,509.0","40,598.0","40,820.0","40,376.0","824.78K","-0.76%"
"04/06/2023","40,820.0","40,376.0","41,264.0","40,199.0","1.71M","1.10%"
"04/05/2023","40,376.0","40,820.0","41,086.0","40,199.0","1.54M","-1.09%"
"04/04/2023","40,820.0","40,731.0","40,953.0","40,554.0","1.00M","0.22%"
"04/03/2023","40,731.0","41,397.0","41,530.0","40,642.0","1.42M","-0.65%"
"03/31/2023","40,997.0","40,997.0","41,707.0","40,864.0","725.39K","0.00%"
